Taxon,species,flight,age,group,swim,body_len,mass,wing,tail,tarsus,barb_angle_m_l,barb_angle_m_t,rachis_width_m,rachis_length_m,barb_length_m_l,barb_length_m_t,barb_density_m_l,barb_density_m_t,barbule_length_m_t,barbule_density_m_distal,barbule_density_m_proximal
Eudyptes chrysocome crestatus,Eudyptes chrysocome crestatus,0,61050000,Sphenisciformes,5,440,2330,91,58.7,26.9,12.3,16.4,0.288,4.046,4.21,4.162,4.823151125,3.389830508,0.233,29.58579882,20.24291498
Aptenodytes forsteri,Aptenodytes forsteri,0,61050000,Sphenisciformes,5,940,11751,182,83.9,46,10.2,8.3,0.925,5.81,4.747,5.158,3.973509934,3.896103896,0.363,11.52073733,24.27184466
Mergus australis,Mergus australis,1,,Anseriformes,1,370,898,186,80.8,42.2,11.6,31.5,0.698,32.543,9.691,14.411,1.738122827,3.468208092,0.431,47.16981132,24.75247525
Porzana sandwichensis,Porzana sandwichensis,0,430000,Gruiformes,0,125,35,65,14.2,27.7,31,38,0.123,15.524,9.492,11.976,3.021148036,2.994011976,0.451,30.12048193,25.90673575
Porzana palmeri,Porzana palmeri,0,125000,Gruiformes,0,125,32.5,58,25.2,25.4,24.8,29.8,0.166,15.202,8.771,13.063,2.281368821,2.822201317,0.512,33.11258278,27.02702703
Gallinula nesiotis,Gallinula nesiotis,0,,Gruiformes,1,240,513,150,68,53,21.6,32,0.457,29.7216,15.121,20.379,1.923076923,2.988047809,0.493,24.87562189,22.12389381
Xenicus lyalli,Xenicus lyalli,0,32900000,Passeriformes,0,77,16,50,13.3,18.1,35.8,32,0.146,9.08,4.497,9.408,2.843601896,3.260869565,0.305,29.41176471,27.77777778
Megacrex inepta,Megacrex inepta,0,16660500,Gruiformes,0,316,1200,158,29,90.2,40.06,35.5,0.527,35.207,19.963,25.602,2.19941349,2.158273381,0.205,38.75968992,29.41176471
Porzana spiloptera,Porzana spiloptera,1,,Gruiformes,0,114,61,75,34.5,24.5,24.7,33.3,0.289,21.327,7.546,13.818,2.141327623,3.393665158,0.546,31.84713376,30.86419753
Tribonyx mortierii,Gallinula mortierii,0,5529800,Gruiformes,1,393,1292.5,183,93.7,78,29.8,32.3,0.413,30.38,17.015,22.372,2.054794521,2.126151665,0.646,31.05590062,25
Podiceps taczanowskii,Podiceps taczanowskii,0,960000,Podicipediformes,3,299,391.5,119,32.6,44.1,20.4,26.3,0.457,22.682,7.514,10.52,3.367003367,3.614457831,0.338,40,34.48275862
Pinguinus impennis,Pinguinus impennis,0,11720000,Charadriiformes,4,688,5000,159,78,57.6,13.2,17.5,0.455,24.292,10.218,13.222,1.908396947,3.021148036,0.626,45.04504505,21.83406114
Aramidopsis plateni,Aramidopsis plateni,0,12195300,Gruiformes,0,324,191,138,34,60.6,37.4,35.09,0.532,29.074,13.384,19.255,2.485501243,2.643171806,0.221,26.88172043,34.96503497
Habroptila wallacii,Habroptila wallacii,0,9393700,Gruiformes,0,275,1000,164,65.7,85.1,34.7,42.5,0.507,39.066,21.135,27.585,1.956947162,2.495840266,0.631,32.25806452,22.02643172
Dryolimnas cuvieri aldabranus,Dryolimnas aldabranus,0,130000,Gruiformes,0,222,182.5,106,41.7,46.3,27,32.2,0.393,24.513,10.916,17.155,2.504173623,2.801120448,0.316,32.46753247,27.93296089
Podilymbus gigas,Podilymbus gigas,0,,Podicipediformes,3,335,699,127,33.4,43.6,14.6,17.7,0.247,14.794,6.715,9.421,2.510460251,3.856041131,0.306,41.32231405,32.46753247
Podilymbus podiceps,Podilymbus podiceps,1,,Podicipediformes,3,322,416,129,31.6,40.5,25.9,34.7,0.561,25.478,7.835,10.063,3.618817853,4.411764706,0.392,58.13953488,33.11258278
Rallus (=Gallirallus) philippensis philippensis,Gallirallus philippensis,1,,Gruiformes,0,194,180,129,58.1,49.4,26.7,34.3,0.586,36.086,10.898,17.782,1.955671447,3,0.572,34.48275862,25.38071066
Gallirallus (=Tricholimnas) sylvestris,Tricholimnas sylvestris,0,730000,Gruiformes,0,248,496,144,52.2,53.5,20.9,24.2,0.269,30.744,17.195,20.807,2.042205582,2.564102564,0.4,29.23976608,23.25581395
Porzana pusilla pusilla,Porzana pusilla,1,,Gruiformes,0,140,35.4,94,36,31,20.7,43.9,0.32,26.755,8.163,14.164,1.884422111,3.448275862,0.508,40.6504065,32.05128205
Porzana tabuensis tabuensis,Porzana tabuensis,1,,Gruiformes,0,113,42.55,74,42,30.4,25.4,39.2,0.221,17.623,6.124,11.483,2.652519894,3.448275862,0.46,34.48275862,30.3030303
Gallinula chloropus chloropus,Gallinula chloropus,1,,Gruiformes,1,241,305,176,75.4,52.1,19.7,38.3,0.73,45.567,11.044,22.648,1.862197393,3.370786517,0.449,38.75968992,25.51020408
Mergus merganser americanus,Mergus merganser americanus,1,,Anseriformes,1,546,1470.5,264,104,50.5,22.4,32.5,1.226,63.675,13.625,23.784,2.155172414,3.121748179,0.421,52.08333333,27.77777778
Xenicus longipes,Xenicus longipes,1,,Passeriformes,0,69,16,55,22.9,29,13.5,28.7,0.243,14.655,1.703,9.321,3.271537623,4.261363636,0.298,43.85964912,42.73504274
Tribonyx ventralis whitei,Gallinula ventralis,1,,Gruiformes,1,280,387,226,97,65.6,26.8,32.6,0.827,38.999,13.675,21.308,2.044989775,3.115264798,0.251,43.10344828,29.41176471
Podiceps occipitalis occipitalis,Podiceps occipitalis occipitalis,1,,Podicipediformes,3,268,321,123,21.9,42.2,26.6,34.9,0.75,28.762,7.079,13.834,3.731343284,4.464285714,0.307,47.16981132,36.49635036
Falco peregrinus cassini,Falco peregrinus cassini,1,,Falconiformes,0,307,697.5,340,171.9,44.1,24.1,32,1.465,99.47,13.753,37.936,2.297090352,2.403846154,0.58,39.37007874,27.62430939
Phoenicopterus roseus,Phoenicopterus roseus,1,,Phoenicopteriforms,1,1040,3035,414,164.1,353,15.8,33.2,1.822,82.229,18.691,21.999,1.872659176,3.382187148,0.543,47.61904762,22.83105023
Opisthocomus hoazin,Opisthocomus hoazin,1,,Opisthocomiformes,0,324,696,328,309,59.6,23.3,41.4,1.591,94.066,24.981,40.688,1.054852321,1.516683519,0.172,35.21126761,27.17391304
Cariama cristata cristata,Cariama cristata cristata,1,,Cariamiformes,0,575,1400,354,318,182.9,23.8,40.8,1.664,98.077,15.841,41.055,1.949317739,2.570694087,0.483,33.78378378,27.47252747
Musophaga rossae,Musophaga rossae,1,,Musophagiformes,0,292,361,225,232,39.8,33.6,47.5,1.148,64.172,12.597,28.689,2.575107296,2.615518745,0.65,35.21126761,28.57142857
Dryocopus pileatus floridanus (=p. pileatus),Dryocopus pileatus floridanus,1,,Piciformes,0,245,287.5,229,165.6,33.6,16.7,34.5,0.846,73.374,11.21,23.939,1.461276181,2.365930599,0.406,33.78378378,30.48780488
Strix nebulosa nebulosa,Strix nebulosa nebulosa,1,,Strigiformes,0,322,1078.5,408,290,62.2,15.4,33.9,1.272,107.603,38.131,63.237,1.245847176,2.822201317,1.204,26.17801047,19.76284585
