,StripTips_sp,Bind
I0267_3690_Bucconidae_Bucco_capensis,Bucco capensis,0
I0268_3790_Accipitridae_Accipiter_superciliosus,Accipiter superciliosus,Accipiter nisus nisus
I0270_4099_Sternidae_Sterna_hirundo,Sterna hirundo,0
I0271_5253_Psittacidae_Psittrichas_fulgidus,Psittrichas fulgidus,0
I0272_5303_Alcedinidae_Chloroceryle_inda,Chloroceryle inda,0
I0273_5315_Galbulidae_Galbula_dea,Galbula dea,0
I0274_5339_Bucconidae_Chelidoptera_tenebrosa,Chelidoptera tenebrosa,0
I0275_5404_Balaenicipitidae_Balaeniceps_rex,Balaeniceps rex,0
I0276_5411_Cathartidae_Vultur_gryphus,Vultur gryphus,0
I0277_5465_Trochilidae_Archilochus_colubris,Archilochus colubris,0
I0278_5642_Phasianidae_Bonasa_umbellus,Bonasa umbellus,0
I0279_5911_Jacanidae_Jacana_jacana,Jacana jacana,0
I0280_5927_Psittacidae_Probosciger_aterrimus,Probosciger aterrimus,0
I0281_5967_Otididae_Ardeotis_kori,Ardeotis kori,Otis tarda tarda
I0282_6008_Hydrobatidae_Oceanodroma_leucorhoa,Oceanodroma leucorhoa,0
I0283_6026_Anatidae_Dendrocygna_viduata,Dendrocygna viduata,0
I0284_6031_Coraciidae_Coracias_cyanogaster,Coracias cyanogaster,Coracias garrulus garrulus
I0285_6059_Anatidae_Anser_canagicus,Anser canagicus,0
I0286_6061_Ramphastidae_Ramphastos_ambiguus,Ramphastos ambiguus,0
I0287_6069_Phoenicopteridae_Phoenicopterus_ruber,Phoenicopterus ruber,Phoenicopterus roseus
I0288_6097_Anatidae_Aythya_valisineria,Aythya valisineria,0
I0289_6295_Haematopodidae_Haematopus_palliatus,Haematopus palliatus,0
I0361_9545_Sagittariidae_Sagittarius_serpentarius,Sagittarius serpentarius,0
I0362_3175_Hydrobatidae_Oceanites_oceanicus,Oceanites oceanicus,Oceanites oceanicus
I0363_345610_Mesitornithidae_Mesitornis_unicolor,Mesitornis unicolor,Mesitornis unicolor
I0364_384759_Brachypteraciidae_Atelornis_pittoides,Atelornis pittoides,0
I0365_384805_Rallidae_Sarothrura_rufa_elizabethae,Sarothrura rufa,0
I0366_438526_Mesitornithidae_Monias_benschi,Monias benschi,0
I0367_449184_Leptosomidae_Leptosomus_discolor,Leptosomus discolor,Leptosomus discolor discolor
I0368_21_Recurvirostridae_Recurvirostra_americana,Recurvirostra americana,0
I0369_848_Opisthocomidae_Opisthocomus_hoazin,Opisthocomus hoazin,Opisthocomus hoazin
I0370_1566_Psittacidae_Psittacus_erithacus,Psittacus erithacus,0
I0371_1587_Phasianidae_Rollulus_rouloul,Rollulus rouloul,0
I0372_1658_Phalacrocoracidae_Phalacrocorax_brasilianus,Phalacrocorax brasilianus,Phalacrocorax harrisi
I0373_1829_Anhimidae_Chauna_torquata,Chauna torquata,0
I0374_2419_Phasianidae_Gallus_gallus,Gallus gallus,Gallus gallus
I0375_2613_Phaethontidae_Phaethon_rubricauda,Phaethon rubricauda,Phaethon lepturus catesbyi
I0376_2661_Ciconiidae_Leptoptilos_crumeniferus,Leptoptilos crumeniferus,0
I0377_2841_Melanopareiidae_Melanopareia_maximiliani,Melanopareia maximiliani,0
I0378_3087_Heliornithidae_Heliornis_fulica,Heliornis fulica,0
I0379_3106_Anhingidae_Anhinga_anhinga,Anhinga anhinga,0
I0380_6178_Climacteridae_Climacteris_melanura,Climacteris melanura,0
I0381_6209_Maluridae_Malurus_splendens,Malurus splendens,0
I0382_6875_Casuariidae_Casuarius_bennetti,Casuarius bennetti,Casuarius unappendiculatus
I0383_8723_Psittacidae_Barnardius_zonarius,Barnardius zonarius,0
I0384_9129_Fregatidae_Fregata_magnificens,Fregata magnificens,0
I0385_9309_Accipitridae_Elanus_leucurus,Elanus leucurus,0
I0386_10701_Pelecanoididae_Pelecanoides_urinatrix,Pelecanoides urinatrix,Pelecanoides urinatrix
I0387_12368_Eurylaimidae_Eurylaimus_ochromalus,Eurylaimus ochromalus,0
I0388_12571_Hemiprocnidae_Hemiprocne_comata,Hemiprocne comata,0
I0389_14873_Psittacidae_Nestor_meridionalis,Nestor meridionalis,Nestor notabilis
I0390_14905_Apterygidae_Apteryx_sp,Apteryx sp,Apteryx australis
I0391_15014_Pelecanidae_Pelecanus_occidentalis,Pelecanus occidentalis,0
I0392_15430_Phoeniculidae_Phoeniculus_purpureus,Phoeniculus purpureus,0
I0393_15950_Rynchopidae_Rhynchops_niger,Rhynchops niger,0
I0394_16098_Aegothelidae_Aegotheles_insignis,Aegotheles insignis,0
I0395_16363_Procellariidae_Pterodroma_externa,Pterodroma externa,0
I0396_16818_Eurypygidae_Eurypyga_helias,Eurypyga helias,Eurypyga helias helias
I0397_17790_Ramphastidae_Megalaima_chrysopogon,Megalaima chrysopogon,0
I0398_17932_Cuculidae_Centropus_bengalensis,Centropus bengalensis,0
I0399_18174_Caprimulgidae_Eurostopodus_macrotis,Eurostopodus macrotis,0
I0400_19788_Pittidae_Pitta_angolensis,Pitta angolensis,0
I0401_19903_Glareolidae_Glareola_nuchalis,Glareola nuchalis,0
I0402_20061_Rostratulidae_Rostratula_benghalensis,Rostratula benghalensis,0
I0403_20547_Pteroclididae_Syrrhaptes_paradoxus,Syrrhaptes paradoxus,0
I0404_21828_Procellariidae_Fulmarus_glacialoides,Fulmarus glacialoides,0
I0405_21897_Gruidae_Grus_canadensis,Grus canadensis,0
I0406_22550_Procellariidae_Puffinus_griseus,Puffinus griseus,0
I0407_22888_Rallidae_Porphyrio_porphyrio,Porphyrio porphyrio,0
I0408_25293_Alcidae_Uria_aalge,Uria aalge,Alca torda
I0409_25985_Turnicidae_Turnix_ocellata,Turnix ocellata,0
I0410_52764_Coliidae_Colius_colius,Colius colius,Colius colius
I0411_53231_Pteroclididae_Pterocles_bicinctus,Pterocles bicinctus,Pterocles quadricinctus quadricinctus
I0412_62853_Hydrobatidae_Pelagodroma_marina,Pelagodroma marina,0
I0413_67124_Coliidae_Colius_indicus,Colius indicus,Colius colius
I0414_72512_Rheidae_Rhea_americana,Rhea americana,Rhea americana intermedia
I0415_76638_Menuridae_Menura_novaehollandiae,Menura novaehollandiae,0
I0416_76941_Pipridae_Cryptopipo_holochlora,Cryptopipo holochlora,0
I0417_82096_Diomedeidae_Phoebastria_nigripes,Phoebastria nigripes,Diomedea immutabilis
I0418_89784_Scopidae_Scopus_umbretta,Scopus umbretta,0
I0419_90368_Aramidae_Aramus_guarauna,Aramus guarauna,0
I0420_730_Ardeidae_Ixobrychus_minutus,Ixobrychus minutus,0
I0421_1173_Cariamidae_Cariama_cristata,Cariama cristata,Cariama cristata cristata
I0422_1201_Podicipedidae_Rollandia_rolland,Rollandia rolland,Rollandia microptera
I0423_2497_Cuculidae_Cuculus_optatus,Cuculus optatus,Cuculus canorus canorus
I0424_2923_Cuculidae_Tapera_naevia,Tapera naevia,0
I0425_2961_Rallidae_Micropygia_schomburgkii,Micropygia schomburgkii,0
I0426_2963_Cracidae_Ortalis_motmot,Ortalis motmot,0
I0427_3383_Scolopacidae_Arenaria_interpres,Arenaria interpres,0
I0428_3386_Rallidae_Rallus_longirostris,Rallus longirostris,Rallus (=Gallirallus) philippensis philippensis
I0429_3677_Grallariidae_Myrmothera_campanisona,Myrmothera campanisona,0
I0430_5336_Tyrannidae_Elaenia_flavogaster,Elaenia flavogaster,0
I0431_5370_Scolopacidae_Limosa_lapponica,Limosa lapponica,0
I0432_5886_Tinamidae_Eudromia_elegans,Eudromia elegans,0
I0433_6296_Gruidae_Balearica_regulorum,Balearica regulorum,0
I0434_6298_Columbidae_Ptilinopus_magnificus,Ptilinopus magnificus,0
I0436_20224_D_Steatornithidae_Steatornis_caripensis,Steatornithidae Steatornis,0
I0438_345711_Eurylaimidae_Neodrepanis_coruscans,Neodrepanis coruscans,0
I0440_10756_D_Ptilonorhynchidae_Ptilonorhynchus_violaceus,Ptilonorhynchidae Ptilonorhynchus,0
I0448_52755_Numididae_Numida_malagris,Numida malagris,0
I0449_66928_Gaviidae_Gavia_immer,Gavia immer,Gavia immer elasson
I0450_81668_Pandionidae_Pandion_haliaetus,Pandion haliaetus,0
I0451_85124_Spheniscidae_Spheniscus_humboldti,Spheniscus humboldti,Spheniscus demersus
I0452_88784_Tytonidae_Tyto_alba,Tyto alba,0
I0453_90121_Struthionidae_Struthio_camelus,Struthio camelus,Struthio camelus
I0454_77230_Cariamidae_Chunga_burmeisteri,Chunga burmeisteri,0
I0455_1245_Alaudidae_Calandrella_brachydactyla,Calandrella brachydactyla,0
I0456_3321_Paridae_Poecile_lugubris,Poecile lugubris,0
I0457_6346_Paradisaeidae_Lophorina_superba,Lophorina superba,0
I0459_6323_Eurylaimidae_Calyptomena_viridis,Calyptomena viridis,0
I2824_12230_Ptilonorhynchidae_Sericulus_bakeri,Sericulus bakeri,0
I2825_21896_Emberizidae_Spizella_arborea,Spizella arborea,0
I2826_181173_Pycnonotidae_Pycnonotus_macrotis,Pycnonotus macrotis,0
I2827_2685_Pedionomidae_Pedionomus_torquatus,Pedionomus torquatus,0
I2828_3250_Bucerotidae_Bucorvus_leadbeateri,Bucorvus leadbeateri,Bycanistes subcylindricus subquadratus
I2829_RIFL_Acanthisittidae_Acanthisitta_chloris,Acanthisitta chloris,Xenicus longipes
